About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
            ",George Lucas,"Tom Kane,Dee Bradley Baker,Matt Lanter,See full cast & crew",Animation,"
                        23min
                    ",Serie,"51,921",8.2,"Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode II - Attack of the Clones,Rogue One: A Star Wars Story,The Mandalorian,Star Wars: Episode IV - A New Hope,Star Wars: Episode IX - The Rise of Skywalker,Solo: A Star Wars Story,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VII - The Force Awakens,The Flash,Star Wars: Episode VIII - The Last Jedi",Star Wars: The Clone Wars             
"
                    A detective investigates the death of a patriarch of an eccentric, combative family.
            ",Rian Johnson,Rian Johnson,Comedy,"
                        2h 10min
                    ",Movie,"308,201",7.9,"Once Upon a Time... in Hollywood,Avengers: Endgame,Joker,1917,Parasite,Jojo Rabbit,The Gentlemen,Forrest Gump,Star Wars: Episode IX - The Rise of Skywalker,Back to the Future,Jumanji: The Next Level,The Shawshank Redemption",Knives Out 
"
                    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.
            ",Sam Mendes,"Sam Mendes,Krysty Wilson-Cairns",Drama,"
                        1h 59min
                    ",Movie,"316,086",8.3,"Joker,Parasite,Avengers: Endgame,Once Upon a Time... in Hollywood,Forrest Gump,Knives Out,Jojo Rabbit,The Shawshank Redemption,Mad Max: Fury Road,Back to the Future,Ford v Ferrari,The Godfather",1917 
"
                    The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.
            ",Donald P. Bellisario,"Mark Harmon,David McCallum,Sean Murray,See full cast & crew",Action,"
                        1h
                    ",Serie,"114,444",7.8,"NCIS: Los Angeles,Criminal Minds,NCIS: New Orleans,Law & Order: Special Victims Unit,CSI: Crime Scene Investigation,CSI: Miami,CSI: NY,Hawaii Five-0,Bones,The Blacklist,Castle,Grey's Anatomy",NCIS             
"
                    A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
            ",Peter Nowalk,"Viola Davis,Billy Brown,Jack Falahee,See full cast & crew",Crime,"
                        43min
                    ",Serie,"116,147",8.1,"Grey's Anatomy,Modern Family,Friends,The Blacklist,Brooklyn Nine-Nine,Criminal Minds,Homeland,Stranger Things,Suits,Riverdale,Game of Thrones,Dead to Me",How to Get Away with Murder             
"
                    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.
            ",Bong Joon Ho,"Jacques Lob,Benjamin Legrand,4 more credits",Action,"
                        2h 6min
                    ",Movie,"288,845",7.1,"Mad Max: Fury Road,Avengers: Endgame,Forrest Gump,Once Upon a Time... in Hollywood,Back to the Future,Contagion,The Shawshank Redemption,Den of Thieves,Knives Out,Star Wars: Episode IX - The Rise of Skywalker,Parasite,Jumanji: The Next Level",Snowpiercer 
"
                    After the devastating events of ",Anthony Russo,"Christopher Markus,Stephen McFeely,14 more credits",Action,"
                        3h 1min
                    ",Movie,"721,285",8.4,"Avengers: Infinity War,Joker,Back to the Future,Forrest Gump,Mad Max: Fury Road,Star Wars: Episode IX - The Rise of Skywalker,The Shawshank Redemption,Once Upon a Time... in Hollywood,Thor: Ragnarok,Jumanji: The Next Level,Inception,1917",Avengers: Endgame 
"
                    An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.
            ",Charlie Brooker,"Daniel Lapaine,Hannah John-Kamen,Michaela Coel,See full cast & crew",Drama,"
                        1h
                    ",Serie,"402,632",8.8,"Stranger Things,Sherlock,Narcos,Friends,Chernobyl,Game of Thrones,Westworld,Dark,Breaking Bad,Peaky Blinders,Vikings,Mindhunter",Black Mirror             
"
                    When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.
            ",Darío Madrona,"Itzan Escamilla,Miguel Bernardeau,Arón Piper,See full cast & crew",Crime,"
                        1h
                    ",Serie,"38,165",7.6,"You,Sex Education,Money Heist,13 Reasons Why,The End of the F***ing World,The Society,Vis a vis,Stranger Things,Baby,Riverdale,Gossip Girl,I Am Not Okay with This",Elite             
"
                    An anthology series centered around the mysterious Geist Group, an unconventional wellness company and their equally unorthodox program, the Homecoming Initiative.
            ",Micah Bloomberg,"Stephan James,Bobby Cannavale,Hong Chau,See full cast & crew",Drama,"
                        30min
                    ",Serie,"17,193",7.5,"Tales from the Loop,Little Fires Everywhere,Devs,Upload,Hanna,Killing Eve,Hunters,Run,Fleabag,Homeland,The Sinner,The Widow",Homecoming             
"
                    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
            ",J.J. Abrams,"Jorge Garcia,Josh Holloway,Yunjin Kim,See full cast & crew",Adventure,"
                        44min
                    ",Serie,"476,375",8.3,"Prison Break,Dexter,The Walking Dead,House,How I Met Your Mother,Game of Thrones,Friends,Black Mirror,Breaking Bad,Stranger Things,The Big Bang Theory,American Horror Story",Lost             
"
                    When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.
            ",Michael M. Scott,David Golden,Drama,"
                        1h 36min
                    ",Movie,"9,973",5.2,"365 Days,Extraction,The Half of It,Star Wars: Episode IX - The Rise of Skywalker,Bad Boys for Life,All Day and a Night,Hustlers,Fantasy Island,Avengers: Endgame,Den of Thieves,Jumanji: The Next Level,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn",Dangerous Lies 
"
                    A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.
            ",Alex Garland,"Sonoya Mizuno,Nick Offerman,Jin Ha,See full cast & crew",Drama,"
                        6h 49min
                    ",Movie,"16,303",7.8,"Tales from the Loop,The Outsider,Upload,Ex Machina,Run,Avenue 5,Solar Opposites,The Plot Against America,Annihilation,What We Do in the Shadows,Electric Dreams,Maniac",Devs             
"
                    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
            ",Quentin Tarantino,Quentin Tarantino,Adventure,"
                        2h 33min
                    ",Movie,"1,211,081",8.3,"Django Unchained,Pulp Fiction,Reservoir Dogs,The Wolf of Wall Street,Kill Bill: Vol. 1,Fight Club,Se7en,Gladiator,Inception,The Dark Knight Rises,The Departed,The Matrix",Inglourious Basterds 
"
                    Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
            ",Tom Kapinos,"Tom Ellis,Lauren German,Kevin Alejandro,See full cast & crew",Crime,"
                        42min
                    ",Serie,"194,936",8.2,"Arrow,The Flash,Stranger Things,Supernatural,The Witcher,Sex Education,The Vampire Diaries,How I Met Your Mother,Sherlock,The Big Bang Theory,Brooklyn Nine-Nine,Teen Wolf",Lucifer             
"
                    The human stories on both sides of the Israel-Palestine conflict.
            ",Avi Issacharoff,"Lior Raz,Itzik Cohen,Neta Garty,See full cast & crew",Action,"
                        1h
                    ",Serie,"14,711",8.3,"Caliphate,When Heroes Fly,The Spy,Hostages,Unorthodox,Shtisel,Homeland,Ozark,Into the Night,Bethlehem,Inhuman Resources,Peaky Blinders",Fauda             
"
                    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.
            ",Carlo Bernard,"Pedro Pascal,Wagner Moura,Boyd Holbrook,See full cast & crew",Biography,"
                        49min
                    ",Serie,"332,164",8.8,"Black Mirror,Sherlock,Peaky Blinders,Narcos: Mexico,Chernobyl,Stranger Things,Breaking Bad,House of Cards,Game of Thrones,Fargo,Vikings,Westworld",Narcos             
"
                    The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.
            ",Mehmet Bozdag,"Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun,See full cast & crew",Action,"
                        2h
                    ",Serie,"22,217",7.7,"Kurulus: Osman,Payitaht Abdülhamid,Mehmetçik Kut'ül Amare,Yunus Emre,Conquest 1453,Filinta,Kursun,Türkler Geliyor: Adaletin Kilici,Fatih,Rise of Empires: Ottoman,Alif,Valley of the Wolves: Ambush",Dirilis: Ertugrul             
"
                    The Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., investigate sexually related crimes.
            ",Dick Wolf,"Mariska Hargitay,Christopher Meloni,Ice-T,See full cast & crew",Crime,"
                        1h
                    ",Serie,"76,048",8.0,"Criminal Minds,Law & Order,NCIS,Grey's Anatomy,Law & Order: Criminal Intent,Chicago P.D.,The Blacklist,Friends,Hawaii Five-0,CSI: Miami,Supernatural,The Good Doctor",Law & Order: Special Victims Unit             
"
                    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
            ",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,3 more credits",Action,"
                        2h 32min
                    ",Movie,"2,212,729",9.0,"The Dark Knight Rises,Inception,Batman Begins,Pulp Fiction,Fight Club,The Shawshank Redemption,The Lord of the Rings: The Return of the King,Interstellar,Forrest Gump,The Matrix,The Lord of the Rings: The Fellowship of the Ring,The Godfather",The Dark Knight 
"
                    A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.
            ",Bruno Heller,"Simon Baker,Robin Tunney,Tim Kang,See full cast & crew",Crime,"
                        43min
                    ",Serie,"159,512",8.1,"Castle,Lie to Me,White Collar,Bones,Elementary,House,Numb3rs,Person of Interest,Chuck,Monk,Rizzoli & Isles,Psych",The Mentalist             
"
                    An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.
            ",Jay Carson,"Jennifer Aniston,Reese Witherspoon,Desean Terry,See full cast & crew",Drama,"
                        1h
                    ",Serie,"34,789",8.4,"Servant,See,Defending Jacob,Big Little Lies,For All Mankind,Truth Be Told,The Marvelous Mrs. Maisel,Home Before Dark,The Crown,Trying,Fleabag,Succession",The Morning Show             
"
                    Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.
            ",Bryan Fuller,"Sonequa Martin-Green,Doug Jones,Anthony Rapp,See full cast & crew",Action,"
                        1h
                    ",Serie,"80,226",7.3,"Star Trek: Picard,Star Trek: Voyager,Star Trek: Enterprise,Star Trek: The Next Generation,Star Trek: Deep Space Nine,Star Trek: The Original Series,The Orville,Star Trek: First Contact,Star Trek: Nemesis,Star Trek: Generations,Star Trek: Short Treks,Star Trek: Insurrection",Star Trek: Discovery             
